年份,研究领域,tag,研究领域,论文标题,作者,论文链接,项目名,项目链接
2021,操作系统,,操作系统,NrOS: Effective Replication and Sharing in an Operating System,"Ankit Bhardwaj, University of Utah; et al.",https://www.usenix.org/conference/osdi21/presentation/bhardwaj,NrOS,https://nrkernel.systems/book/benchmarking/ArtifactEvaluation.html
2021,机器学习系统,,GNN,GNNAdvisor: An Adaptive and Efficient Runtime System for GNN Acceleration on GPUs,"Yuke Wang, University of California, Santa Barbara; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-yuke,GNNAdvisor,https://github.com/YukeWang96/OSDI21_AE.git
2021,机器学习系统,,机器学习,Oort: Efficient Federated Learning via Guided Participant Selection,"Fan Lai, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/lai,Oort,https://github.com/SymbioticLab/Kuiper
2021,机器学习系统,,机器学习,PET: Optimizing Tensor Programs with Partially Equivalent Transformations and Automated Corrections,"Haojie Wang, Tsinghua University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang,PET,https://github.com/whjthu/pet-osdi21-ae
2021,机器学习系统,,机器学习,Pollux: Co-adaptive Cluster Scheduling for Goodput-Optimized Deep Learning,"Aurick Qiao, Petuum, Inc. and Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi21/presentation/qiao,Pollux,https://github.com/aurickq/pollux-artifact
2021,软件测试,,找Bug,DMon: Efficient Detection and Correction of Data Locality Problems using Selective Profiling,"Tanvir Ahmed Khan, University of Michigan; et al.",https://www.usenix.org/conference/osdi21/presentation/khan,DMon,https://github.com/efeslab/DMon-AE
2021,数据库系统,,数据库,Polyjuice: High-Performance Transactions via Learned Concurrency Control,"Jiachen Wang, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-jiachen,Polyjuice,https://ipads.se.sjtu.edu.cn/ae/README_polyjuice.html
2021,数据库系统,,数据库,Retrofitting High Availability Mechanism to Tame Hybrid Transaction/Analytical Processing,"Sijie Shen, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/shen,Vegito,https://ipads.se.sjtu.edu.cn:1312/opensource/vegito
2021,数据库系统,,图计算,Marius: Learning Massive Graph Embeddings on a Single Machine,"Jason Mohoney, University of Wisconsin–Madison; et al.",https://www.usenix.org/conference/osdi21/presentation/mohoney,Marius,https://github.com/marius-team/marius/tree/osdi2021
2021,数据中心系统,,机器学习,"Dorylus: Affordable, Scalable, and Accurate GNN Training with Distributed CPU Servers and Serverless Threads","John Thorpe, UCLA; et al.",https://www.usenix.org/conference/osdi21/presentation/thorpe,Dorylus,https://github.com/uclasystem/dorylus
2021,网络系统,,Web,STORM: Refinement Types for Secure Web Applications,"Nico Lehmann, UC San Diego; et al.",https://www.usenix.org/conference/osdi21/presentation/lehmann,STORM,https://github.com/storm-framework/artifact
2021,网络系统,,Web,Horcrux: Automatic JavaScript Parallelism for Resource-Efficient Web Computation,"Shaghayegh Mardani, UCLA; et al.",https://www.usenix.org/conference/osdi21/presentation/mardani,Horcrux,https://github.com/ShaghayeghMrdn/horcrux-osdi21#horcrux
2021,网络系统,,网络,The nanoPU: A Nanosecond Network Stack for Datacenters,"Stephen Ibanez, Stanford University; et al.",https://www.usenix.org/conference/osdi21/presentation/ibanez,NanoPU,https://github.com/l-nic/chipyard/tree/nanoPU-artifact-v1.0
2021,文件和存储系统,,存储,Nap: A Black-Box Approach to NUMA-Aware Persistent Memory Indexes,"Qing Wang, Tsinghua University; et al.",https://www.usenix.org/conference/osdi21/presentation/wang-qing,Nap,https://github.com/thustorage/osdi21ae
2021,文件和存储系统,,存储,Optimizing storage performance with calibrated interrupts,"Amy Tai, VMware Research; et al.",https://www.usenix.org/conference/osdi21/presentation/tai,Cinterrupts,https://github.com/amytai/cinterrupts-osdi
2021,文件和存储系统,,存储,Rearchitecting Linux Storage Stack for µs latency and High Throughput,"Jaehyun Hwang, Cornell University; et al.",https://www.usenix.org/conference/osdi21/presentation/hwang,blk-switch,https://github.com/resource-disaggregation/blk-switch
2021,文件和存储系统,,存储,ZNS+: Advanced Zoned Namespace Interface for Supporting In-Storage Zone Compaction,"Kyuhwa Han, Sungkyunkwan University and Samsung Electronics; et al.",https://www.usenix.org/conference/osdi21/presentation/han,ZNS+,http://nyx.skku.ac.kr/?page_id=2808
2021,文件和存储系统,,文件系统,Modernizing File System through In-Storage Indexing,"Jinhyung Koo, DGIST; et al.",https://www.usenix.org/conference/osdi21/presentation/koo,KEVIN,https://zenodo.org/record/4659803
2021,系统安全与隐私,,安全,MAGE: Nearly Zero-Cost Virtual Memory for Secure Computation,"Sam Kumar, University of California, Berkeley; et al.",https://www.usenix.org/conference/osdi21/presentation/kumar,MAGE,https://github.com/ucbrise/mage
2021,系统安全与隐私,,安全,Scalable Memory Protection in the PENGLAI Enclave,"Erhu Feng, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi21/presentation/feng,Penglai,https://github.com/Penglai-Enclave/Penglai-Enclave-TVM
2021,系统安全与隐私,,安全,Zeph: Cryptographic Enforcement of End-to-End Data Privacy,"Lukas Burkhalter, ETH Zürich; et al.",https://www.usenix.org/conference/osdi21/presentation/burkhalter,Zeph,https://github.com/pps-lab/zeph-artifact
2021,系统安全与隐私,,安全,SANRAZOR: Reducing Redundant Sanitizer Checks in C/C++ Programs,"Jiang Zhang, University of Southern California; et al.",https://www.usenix.org/conference/osdi21/presentation/zhang,SANRAZOR,https://zenodo.org/record/4655221#.YGU8SEhKhhE
2021,系统安全与隐私,,安全,Privacy Budget Scheduling,"Tao Luo, Columbia University; et al.",https://www.usenix.org/conference/osdi21/presentation/luo,PrivateKube,https://github.com/columbia/PrivateKube/
2021,形式化验证,,形式化,"GoJournal: a verified, concurrent, crash-safe journaling system","Tej Chajed, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi21/presentation/chajed,GoJournal,https://github.com/mit-pdos/goose-nfsd/
2021,形式化验证,,形式化,DistAI: Data-Driven Automated Invariant Learning for Distributed Protocols,"Jianan Yao, Columbia University;et al.",https://www.usenix.org/conference/osdi21/presentation/yao,DistAI,https://drive.google.com/file/d/1ogBU9KvZsvSRhXerY9Bv-MuiW9oOezBU/view?usp=sharing
2020,并行与分布式系统,,BFT,Byzantine Ordered Consensus without Byzantine Oligarchy,"Yunhao Zhang, Cornell University; et al.",https://www.usenix.org/conference/osdi20/presentation/zhang-yunhao,BFT SMR,https://github.com/yhzhang0128/osdi20-artifact-evaluation
2020,并行与分布式系统,,共识协议,Microsecond Consensus for Microsecond Applications,"Marcos K. Aguilera, VMware Research; et al.",https://www.usenix.org/conference/osdi20/presentation/aguilera,Mu,https://github.com/osdi2020-no-152/dory
2020,并行与分布式系统,,容错,Toward a Generic Fault Tolerance Technique for Partial Network Partitioning,"Mohammed Alfatafta; University of Waterloo, Canada; et al.",https://www.usenix.org/conference/osdi20/presentation/alfatafta,Nifty,https://github.com/UWASL/NIFTY
2020,并行与分布式系统,,一致性,Pegasus: Tolerating Skewed Workloads in Distributed Storage with In-Network Coherence Directories,"Jialin Li, National University of Singapore; et al.",https://www.usenix.org/conference/osdi20/presentation/li-jialin,Pegasus,https://github.com/NUS-Systems-Lab/pegasus.git
2020,并行与分布式系统,,一致性,Performance-Optimal Read-Only Transactions,"Haonan Lu, Princeton University; et al.",https://www.usenix.org/conference/osdi20/presentation/lu,PORT,https://github.com/princeton-sns/Eiger-PORT
2020,并行与分布式系统,,一致性,PACEMAKER: Avoiding HeART attacks in storage clusters with disk-adaptive redundancy,"Saurabh Kadekodi, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi20/presentation/kadekodi,PACEMAKER,https://github.com/saurabhkadekodi/preact-osdi-2020-artifact
2020,并行与分布式系统,,资源调度,FIRM: An Intelligent Fine-grained Resource Management Framework for SLO-Oriented Microservices,"Haoran Qiu, University of Illinois at Urbana-Champaign; et al.",https://www.usenix.org/conference/osdi20/presentation/qiu,FIRM,https://gitlab.engr.illinois.edu/DEPEND/firm
2020,操作系统,,OS,Do OS abstractions make sense on FPGAs?,"Dario Korolija, ETH Zurich; et al.",https://www.usenix.org/conference/osdi20/presentation/roscoe,Coyote,https://github.com/fpgasystems/Coyote
2020,操作系统,,OS,Theseus: an Experiment in Operating System Structure and State Management,"Kevin Boos, Rice University; et al.",https://www.usenix.org/conference/osdi20/presentation/boos,Theseus,https://github.com/theseus-os/Theseus/tree/osdi20ae/osdi20ae
2020,机器学习系统,,DNN,Serving DNNs like Clockwork: Performance Predictability from the Bottom Up,"Arpan Gujarati, Max Planck Institute for Software Systems; et al.",https://www.usenix.org/conference/osdi20/presentation/gujarati,Clockwork,https://gitlab.mpi-sws.org/cld/ml/clockwork-results/-/tree/osdi_2020_ae
2020,机器学习系统,,机器学习,A Unified Architecture for Accelerating Distributed DNN Training in Heterogeneous GPU/CPU Clusters,"Yimin Jiang, Tsinghua University and ByteDance; et al.",https://www.usenix.org/conference/osdi20/presentation/jiang,BytePS,https://github.com/bytedance/byteps/
2020,机器学习系统,,机器学习,Rammer: Enabling Holistic Deep Learning Compiler Optimizations with rTasks,"Lingxiao Ma, Peking University and Microsoft Research; et al.",https://www.usenix.org/conference/osdi20/presentation/ma,Rammer,https://github.com/microsoft/nnfusion/tree/osdi20_artifact/artifacts
2020,机器学习系统,,机器学习,Retiarii: A Deep Learning Exploratory-Training Framework,"Quanlu Zhang, Microsoft Research; et al.",https://www.usenix.org/conference/osdi20/presentation/zhang-quanlu,Retiarii,https://github.com/microsoft/nni/tree/retiarii_artifact
2020,机器学习系统,,机器学习,Ansor: Generating High-Performance Tensor Programs for Deep Learning,"Lianmin Zheng, UC Berkeley; et al.",https://www.usenix.org/conference/osdi20/presentation/zheng,Ansor,https://bitbucket.org/lmzheng/ansor-artifact/src/master/
2020,机器学习系统,,机器学习,A Tensor Compiler for Unified Machine Learning Prediction Serving,"Supun Nakandala, UC San Diego; et al.",https://www.usenix.org/conference/osdi20/presentation/nakandala,Hummingbird,https://github.com/microsoft/hummingbird/commit/dbebbb715e7050b47895082664adc27f8b846aa1
2020,机器学习系统,,机器学习,KungFu: Making Training in Distributed Machine Learning Adaptive,"Luo Mai, Imperial College London; et al.",https://www.usenix.org/conference/osdi20/presentation/mai,KungFu,https://github.com/lsds/KungFu/tree/ae-submissionV2
2020,机器学习系统,,调度,Heterogeneity-Aware Cluster Scheduling Policies for Deep Learning Workloads,"Deepak Narayanan, Stanford University and Microsoft Research; et al.",https://www.usenix.org/conference/osdi20/presentation/narayanan-deepak,Gavel,https://github.com/stanford-futuredata/gavel/tree/osdi20
2020,软件测试,,数据库,Testing Database Engines via Pivoted Query Synthesis,"Manuel Rigge, ETH Zurich; et al.",https://www.usenix.org/conference/osdi20/presentation/rigger,PQS,https://zenodo.org/record/4005705#.YnNWNvNBy-E 
2020,软件测试,,找Bug,Gauntlet: Finding Bugs in Compilers for Programmable Packet Processing,"Fabian Ruffy, New York University; et al.",https://www.usenix.org/conference/osdi20/presentation/ruffy,Gauntlet,https://github.com/p4gauntlet/gauntlet/tree/aec
2020,软件测试,,找Bug,Automated Reasoning and Detection of Specious Configuration in Large Systems with Symbolic Execution,"Yigong Hu, Johns Hopkins University; et al.",https://www.usenix.org/conference/osdi20/presentation/hu,Violet,https://github.com/OrderLab/violet
2020,数据库系统,,数据库,Generalized Sub-Query Fusion for Eliminating Redundant I/O from Big-Data Queries,"Partho Sarthi, Microsoft Research India; et al.",https://www.usenix.org/conference/osdi20/presentation/sarthi,RESIN,https://resin.azurehdinsight.net/zeppelin/#/notebook/2FJC89KRJ
2020,数据中心系统,,Serverless,Fault-tolerant and transactional stateful serverless workflows,"Haoran Zhang, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/zhang-haoran,Beldi,https://github.com/eniac/Beldi
2020,数据中心系统,,缓存,A large scale analysis of hundreds of in-memory cache clusters at Twitter,"Juncheng Yang, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi20/presentation/yang,Twitter-cache-trace,https://github.com/Thesys-lab/InMemoryCachingWorkloadAnalysis
2020,数据中心系统,,数据中心,RackSched: A Microsecond-Scale Scheduler for Rack-Scale Computers,"Hang Zhu, Johns Hopkins University; et al.",https://www.usenix.org/conference/osdi20/presentation/zhu,RackSched,https://github.com/netx-repo/RSCS
2020,数据中心系统,,调度,Building Scalable and Flexible Cluster Managers Using Declarative Programming,"Lalith Suresh,VMware; et al.",https://www.usenix.org/conference/osdi20/presentation/suresh,DCM,https://github.com/vmware/declarative-cluster-management/
2020,数据中心系统,,性能,Caladan: Mitigating Interference at Microsecond Timescales,"Joshua Fried,MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/fried,Caladan,https://github.com/joshuafried/caladan-artifact
2020,网络系统,,RDMA,Fast RDMA-based Ordered Key-Value Store using Remote Learned Cache,"Xingda Wei, Shanghai Jiao Tong University; et al.",https://www.usenix.org/conference/osdi20/presentation/wei,XSTORE,https://github.com/SJTU-IPADS/xstore/tree/legacy
2020,网络系统,,网络,Overload Control for µs-scale RPCs with Breakwater,"Inho Cho, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/cho,Breakwater,https://github.com/joshuafried/caladan-ae/tree/osdi20ae/breakwater
2020,网络系统,,网络,hXDP: Efficient Software Packet Processing on FPGA NICs,"Marco Spaziani Brunella, Axbryd/University of Rome Tor Vergata; et al.",https://www.usenix.org/conference/osdi20/presentation/brunella,hXDP,https://github.com/axbryd/hXDP-Artifacts/tree/camera-ready-v2.0
2020,网络系统,,网络,A Simpler and Faster NIC Driver Model for Network Functions,"Solal Pirelli,  EPFL",https://www.usenix.org/conference/osdi20/presentation/pirelli,tinynf,https://github.com/dslab-epfl/tinynf
2020,网络系统,,网络,PANIC: A High-Performance Programmable NIC for Multi-tenant Networks,"Jiaxin Lin, University of Wisconsin-Madison; et al.",https://www.usenix.org/conference/osdi20/presentation/lin,PANIC,https://bitbucket.org/uw-madison-networking-research/panic_osdi20_artifact/src/master/
2020,文件和存储系统,,KV,From WiscKey to Bourbon: A Learned Index for Log-Structured Merge Trees,"Yifan Dai, University of Wisconsin - Madison; et al.",https://www.usenix.org/conference/osdi20/presentation/dai,Bourbon,https://bitbucket.org/daiyifandanny/learned-leveldb/src/master/
2020,文件和存储系统,,KV,Cobra: Making Transactional Key-Value Stores Verifiably Serializable,"Cheng Tan, NYU; et al.",https://www.usenix.org/conference/osdi20/presentation/tan,Cobra,https://github.com/DBCobra/CobraHome/tree/OSDI20-AE
2020,文件和存储系统,,持久化,AGAMOTTO: How Persistent is your Persistent Memory Application?,"Ian Neal, University of Michigan; et al.",https://www.usenix.org/conference/osdi20/presentation/neal,AGAMOTTO,https://github.com/efeslab/agamotto/tree/artifact-eval-osdi20/artifact
2020,文件和存储系统,,机器学习,LinnOS: Predictability on Unpredictable Flash Storage with a Light Neural Network,"Mingzhe Hao, University of Chicago; et al.",https://www.usenix.org/conference/osdi20/presentation/hao,LinnOS,https://www.chameleoncloud.org/experiment/share/15?s=409ab137f20e4cd38ae3dd4e0d4bfa7c
2020,文件和存储系统,,文件系统,CrossFS: A Cross-layered Direct-Access File System,"Yujie Ren, Rutgers University; et al.",https://www.usenix.org/conference/osdi20/presentation/ren,CrossFS,https://gitlab.com/yj_ren/aecross
2020,文件和存储系统,,文件系统,Assise: Performance and Availability via Client-local NVM in a Distributed File System,"Thomas E. Anderson, University of Washington; et al.",https://www.usenix.org/conference/osdi20/presentation/anderson,Assise,https://bitbucket.org/mlfs/assise-artifact
2020,文件和存储系统,,远端内存,"AIFM: High-Performance, Application-Integrated Far Memory","Zhenyuan Ruan, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/ruan,AIFM,https://github.com/zainryan/AIFM-AE
2020,文件和存储系统,,远端内存,Semeru: A Memory-Disaggregated Managed Runtime,"Chenxi Wang, UCLA; et al.",https://www.usenix.org/conference/osdi20/presentation/wang,Semeru,https://github.com/uclasystem/Semeru
2020,系统安全与隐私,,安全,SafetyPin: Encrypted Backups with Human-Memorable Secrets,"Emma Dauterman, UC Berkeley; et al.",https://www.usenix.org/conference/osdi20/presentation/dauterman-safetypin,SafetyPin,https://github.com/edauterman/SafetyPin
2020,系统安全与隐私,,安全,Efficiently Mitigating Transient Execution Attacks using the Unmapped Speculation Contract,"Jonathan Behrens, MIT CSAIL; et al.",https://www.usenix.org/conference/osdi20/presentation/behrens,sv6,https://github.com/mit-pdos/ward
2020,系统安全与隐私,,网络,Achieving 100Gbps Intrusion Prevention on a Single Server,"Zhipeng Zhao, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi20/presentation/zhao-zhipeng,Pigasus,https://github.com/cmu-snap/pigasus
2020,系统安全与隐私,,隐私,DORY: An Encrypted Search System with Distributed Trust,"Emma Dauterman, UC Berkeley; et al.",https://www.usenix.org/conference/osdi20/presentation/dauterman-dory,DORY,https://github.com/ucbrise/dory
2020,系统安全与隐私,,隐私,Orchard: Differentially Private Analytics at Scale,"Edo Roth, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/roth,Orchard,https://github.com/edoroth/orchard
2020,形式化验证,,形式化,Specification and verification in the field: Applying formal methods to BPF just-in-time compilers in the Linux kernel,"Luke Nelson, University of Washington; et al.",https://www.usenix.org/conference/osdi20/presentation/nelson,Jitterbug,https://github.com/uw-unsat/jitterbug/tree/osdi20-artifact
2020,形式化验证,,形式化,Storage Systems are Distributed Systems (So Verify Them That Way!),"Travis Hance, Carnegie Mellon University; ert al.",https://www.usenix.org/conference/osdi20/presentation/hance,VeriSafeKV,https://github.com/secure-foundations/veribetrkv-osdi2020
2020,形式化验证,,形式化,Determinizing Crash Behavior with a Verified Snapshot-Consistent Flash Translation Layer,"Yun-Sheng Chang, Institute of Information Science, Academia Sinica, Taiwan; et al.",https://www.usenix.org/conference/osdi20/presentation/chang,SCFTL,https://github.com/yunshengtw/scftl
2020,形式化验证,,形式化,Aragog: Scalable Runtime Verification of Shardable Networked Systems,"Nofel Yaseen, University of Pennsylvania; et al.",https://www.usenix.org/conference/osdi20/presentation/yaseen,Aragog,https://github.com/NofelYaseen/MBVerifier
2018,操作系统,,,"LegoOS: A Disseminated, Distributed OS for Hardware Resource Disaggregatio","Yizhou Shan, Purdue University; et al.",https://www.usenix.org/conference/atc19/presentation/shan,LegoOS,https://github.com/WukLab/LegoOS
2018,文件和存储系统,,存储,Write-Optimized and High-Performance Hashing Index Scheme for Persistent Memory,"Pengfei Zuo, Huazhong University of Science and Technology; et al.",https://www.usenix.org/conference/osdi18/presentation/zuo,Level Hashing,https://github.com/Pfzuo/Level-Hashing
2018,移动与嵌入式系统,,能耗,Adaptive Dynamic Checkpointing for Safe Efficient Intermittent Computing,"Kiwan Maeng, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi18/presentation/maeng,Chinchilla,https://github.com/CMUAbstract/chinchilla_osdi2018
2016,网络系统,,网络,"FaSST: Fast, Scalable and Simple Distributed Transactions with Two-Sided (RDMA) Datagram RPCs","Anuj Kalia, Carnegie Mellon University; et al.",https://www.usenix.org/conference/osdi16/technical-sessions/presentation/kalia,FaSST,https://github.com/efficient/fasst
2016,系统安全与隐私,,安全,Ryoan: A Distributed Sandbox for Untrusted Computation on Secret Data,"Tyler Hunt, The University of Texas at Austin; et al.",https://www.usenix.org/conference/osdi16/technical-sessions/presentation/hunt,Ryoan,https://github.com/ut-osa/ryoan
2014,操作系统,,虚拟化,Arrakis: The Operating System is the Control Plane,"Simon Peter, University of Washington; et al.",https://www.usenix.org/conference/osdi14/technical-sessions/presentation/peter,Arrakis,https://github.com/UWNetworksLab/arrakis
2012,操作系统,,虚拟化,Dune: Safe User-level Access to Privileged CPU Features,"Adam Belay, Stanford University; et al.",https://www.usenix.org/conference/osdi12/technical-sessions/presentation/belay,Dune,https://github.com/project-dune/dune