年份,领域大类,修正版关键词（最多3个）,论文标题,"作者和单位（格式：author, institute; et al.）",论文链接,项目链接
2022,"数据库系统,形式化验证",SQL优化,WeTune: Automatic Discovery and Verification of Query Rewrite Rules,"Zhaoguo Wang, Shanghai Jiao Tong University & Ministry of Education of the People's Republic of China; et al.",https://dl.acm.org/doi/10.1145/3514221.3526125#pill-authors__contentcon,https://ipads.se.sjtu.edu.cn:1312/opensource/wetune
2021,数据库系统,图计算,Boosting Graph Similarity Search through Pre-Computation,"Jongik Kim, Jeonbuk National University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452780,https://github.com/JongikKim/Nass
2021,大数据系统,图计算,Accelerating Triangle Counting on GPU,"Lin Hu, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452815,https://github.com/pkumod/accelerating-TC
2021,"数据库系统,并行与分布式系统","图计算,数据库视图","Graphsurge: Graph Analytics on View Collections Using
Differential Computation","Siddhartha Sahu, University of Waterloo; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452837,https://github.com/dsg-uwaterloo/graphsurge
2021,数据库系统,图计算,"Unifying the Global and Local Approaches:
An Efficient Power Iteration with Forward Push","Hao Wu, The University of Melbourne; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457298,https://github.com/wuhao-wu-jiang/Personalized-PageRank
2021,数据库系统,图计算,"PathEnum: Towards Real-Time Hop-Constrained s-t Path
Enumeration","Shixuan Sun, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457290,https://github.com/Xtra-Computing/PathEnum
2021,"数据库系统,机器学习系统",模糊相似度连接,Auto-FuzzyJoin: Auto-Program Fuzzy Similarity Joins Without Labeled Examples,"Peng Li, Georgia Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452824,https://github.com/chu-data-lab/AutomaticFuzzyJoin
2021,数据库系统,shema演化,BullFrog: Online Schema Evolution via Lazy Evaluation,"Souvik Bhattacherjee, ServiceNow & University of Maryland; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452842,https://github.com/DSLAM-UMD/BullFrog
2021,"大数据系统,机器学习系统",数据谱系追踪,LIMA: Fine-grained Lineage Tracing and Reuse in Machine Learning Systems,"Arnab Phani, Graz University of Technology; et al.",https://dl.acm.org/doi/10.1145/3448016.3452788,https://github.com/apache/systemds
2021,"数据库系统,机器学习系统",数据规范,Conformance Constraint Discovery: Measuring Trust in Data-Driven Systems,"Anna Fariha, Microsoft & University of Massachusetts Amherst; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452795,https://github.com/microsoft/prose/tree/main/misc/CCSynth
2021,数据库系统,"异常检测,数据流处理",Multiple Dynamic Outlier-Detection from a Data Stream by Exploiting Duality of Data and Queries,"Susik Yoon, KAIST; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452810,https://github.com/kaist-dmlab/MDUAL
2021,数据库系统,信息检索,Why Not Match: On Explanations of Event Pattern Queries,"Shaoxu Song, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452818,https://github.com/explanation-event-pattern/explanation
2021,数据库系统,数据补全,ReStore - Neural Data Completion for Relational Databases,"Benjamin Hilprecht, Technical University of Darmstadt; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457264,https://github.com/DataManagementLab/restore
2021,"大数据系统,机器学习系统","数据挖掘,数据分析",Looking for Trouble: Analyzing Classifier Behavior via Pattern Divergence,"Eliana Pastor, Politecnico di Torino; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457284,https://divexplorer.github.io/
2021,"大数据系统,机器学习系统",场景发现,REDS: Rule Extraction for Discovering Scenarios,"Vadim Arzamasov, Karlsruhe Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457301,https://github.com/Arzik1987/REDS_experiments
2021,"大数据系统,机器学习系统",数据管理,"HedgeCut: Maintaining Randomised Trees
for Low-Latency Machine Unlearning","Sebastian Schelter, University of Amsterdam; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457239,https://github.com/schelterlabs/hedgecut
2021,"大数据系统,机器学习系统","云计算,Serverless",Towards Demystifying Serverless Machine Learning Training,"Jiawei Jiang, ETH Zurich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3459240,https://github.com/DS3Lab/LambdaML
2021,"大数据系统,并行与分布式系统","索引结构,信息检索",Fast Processing and Querying of 170TB of Genomics Data via a Repeated And Merged BloOm Filter (RAMBO),"Gaurav Gupta, Rice University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457333,https://github.com/gaurav16gupta/RAMBO_MSMT
2021,数据库系统,"SQL优化,内存数据库","COMPASS: Online Sketch-based Query Optimization for
In-Memory Databases","Yesdaulet Izenov, University of California Merced; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452840,https://github.com/yizenov/compass_query_optimizer
2021,数据库系统,"索引结构,信息检索",Adaptive Compression for Fast Scans on String Columns,"Yannis Foufoulas, University of Athens & Athena Research Center; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452798,https://github.com/madgik/arcade
2021,并行与分布式系统,分布式共识协议,"PigPaxos: Devouring the Communication Bottlenecks in
Distributed Consensus","Aleksey Charapko, University of New Hampshire; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452834,https://github.com/pigpaxos/pigpaxos
2021,"数据库系统,机器学习系统",查询优化,A Unified Deep Model of Learning from both Data and Queries for Cardinality Estimation,"Peizhi Wu, Singtel Cognitive and Artificial Intelligence Lab for Enterprises@NTU; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452830,https://github.com/pagegitss/UAE
2021,大数据系统,图计算,"Parallel Index-Based Structural Graph Clustering and Its
Approximation","Tom Tseng, Massachusetts Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457278,https://github.com/ParAlg/gbbs/tree/master/benchmarks/SCAN/IndexBased
2021,大数据系统,图计算,Incrementalizing Graph Algorithms,"Wenfei Fan, University of Edinburgh & Shenzhen Institute of Computing Sciences; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452796,https://github.com/yogesh1q2w/Dynamic-Graph-Algorithms
2021,"并行与分布式系统,数据库系统","图计算,查询执行,缓存系统",Cache-Efficient Fork-Processing Patterns on Large Graphs,"Shengliang Lu, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457253,https://github.com/Xtra-Computing/ForkGraph
2021,"大数据系统,并行与分布式系统",图计算,"LightNE: A Lightweight Graph Processing System for Network
Embedding","Jiezhong Qiu, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457329,https://github.com/xptree/LightNE
2021,"大数据系统,并行与分布式系统",图计算,Hybrid Edge Partitioner,"Ruben Mayer, Technical University of Munich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457300,https://github.com/mayerrn/hybrid_edge_partitioner
2021,数据库系统,"流处理,调度策略",Klink: Progress-Aware Scheduling for Streaming Data Systems,"Omar Farhat, University of Waterloo; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452794,https://github.com/klink-scheduler/klink
2021,数据库系统,"SQL优化,内存数据库","To Partition, or Not to Partition,
That is the Join Question in a Real System","Maximilian Bandle, Technische Universität München; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452831,https://github.com/opcm/pcm
2021,"大数据系统,并行与分布式系统",数据预取,MxTasks: How to Make Efficient Synchronization and Prefetching Easy,"Jan Mühlig, TU Dortmund University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457268,https://github.com/jmuehlig/mxtasking
2021,"大数据系统,并行与分布式系统",流处理,DFI: The Data Flow Interface for High-Speed Networks,"Lasse Thostrup, TU Darmstadt; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452816,https://github.com/DataManagementLab/DFI-public
2021,"大数据系统,并行与分布式系统","RDMA,内存管理",CoRM: Compactable Remote Memory over RDMA,"Konstantin Taranov, ETH Zurich; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452817,https://github.com/spcl/CoRM
2021,数据库系统,"内存管理,在线分析,非易失性内存","Maximizing Persistent Memory Bandwidth
Utilization for OLAP Workloads","Björn Daase, Hasso Plattner Institute, University of Potsdam,; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457292,https://github.com/hpides/pmem-olap
2021,大数据系统,"键值存储,LSM-tree,RDMA","Nova-LSM: A Distributed, Component-based LSM-tree
Key-value Store","Haoyu Huang, University of Southern California; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457297,https://github.com/HaoyuHuang/NovaLSM
2021,大数据系统,自然语言处理,"Synthesizing Natural Language to Visualization (NL2VIS)
Benchmarks from NL2SQL Benchmarks","Yuyu Luo, Tsinghua University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457261,https://github.com/TsinghuaDatabaseGroup/nvBench
2021,大数据系统,数据分析,"DataPrep.EDA: Task-Centric Exploratory Data Analysis
for Statistical Modeling in Python","Jinglin Peng, Simon Fraser University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457330,https://github.com/sfu-db/dataprep
2021,"大数据系统,机器学习系统","数据挖掘,数据管理","Rotom: A Meta-Learned Data Augmentation Framework for Entity Matching, Data Cleaning, Text Classification, and Beyond","Zhengjie Miao, Duke University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457258,https://github.com/megagonlabs/rotom
2021,"大数据系统,机器学习系统",数据管理,"Expand your Training Limits!
Generating Training Data for ML-based Data Management","Francesco Ventura, Politecnico di Torino; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457286,https://github.com/agora-ecosystem/data-farm
2021,数据库系统,数据管理,Scalable and Usable Relational Learning With Automatic Language Bias,"Jose Picado, Oregon State University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457275,github.com/OSU-IDEA-Lab/AutoBias.
2021,数据库系统,查询执行,Marrying Top-k with Skyline Queries: Relaxing the Preference Input while Producing Output of Controllable Size,"Kyriakos Mouratidis, Singapore Management University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457299,https://github.com/ghlkm/ordu
2021,数据库系统,"SQL优化,查询优化",Small Selectivities Matter: Lifting the Burden of Empty Samples,"Axel Hertzschuch, Technische Universität Dresden; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452805,https://github.com/axhertz/BetaEstimator
2021,数据库系统,"数据分析,查询优化","The Power of Nested Parallelism in Big Data Processing
– Hitting Three Flies with One Slap -","Gábor E. Gévay, Technische Universität Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457287,https://github.com/anonymous873543/Matryoshka-anonymized
2021,数据库系统,查询优化,One WITH RECURSIVE is Worth Many GOTOs,"Denis Hirn, Universität Tübingen; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457272,https://github.com/One-WITH-RECURSIVE-is-Worth-Many-GOTOs
2021,数据库系统,"SQL优化,查询执行",Worst-Case Optimal Graph Joins in Almost No Space,"Diego Arroyuelo, Universidad Técnica Federico Santa María & Millennium Institute for Foundational Research on Data; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457256,https://github.com/darroyue/Ring
2021,数据库系统,SQL优化,PGMJoins: Random Join Sampling with Graphical Models,"Ali Mohammadi Shanghooshabad, University of Warwick, Coventry; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457302,https://github.com/shanghoosh1/PGMJoins
2021,"大数据系统,机器学习系统",数据管理,Slice Tuner: A Selective Data Acquisition Framework for Accurate and Fair Machine Learning Models,"Ki Hyun Tae,KAIST; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452792,https://github.com/systemT2021/SliceTuner
2021,"大数据系统,系统安全与隐私",查询执行,Secure Yannakakis: Join-Aggregate Queries over Private Data,"Yilei Wang, Hong Kong University of Science and Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452808,https://github.com/hkustDB/SECYAN
2021,大数据系统,"数据管理,图计算",Fast Parallel Algorithms for Euclidean Minimum Spanning Tree and Hierarchical Spatial Clustering,"Yiqiu Wang,Massachusetts Institute of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457296,https://github.com/wangyiqiu/hdbscan
2021,"数据库系统,并行与分布式系统",数据管理,"Convergence of Array DBMS and Cellular Automata:
A Road Traffic Simulation Case","Ramon Antonio Rodriges Zalipynis, HSE University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3458457,https://github.com/movsim/movsim
2021,"数据库系统,机器学习系统","SQL优化,DNN","Consistent and Flexible Selectivity Estimation for
High-Dimensional Data","Yaoshu Wang, Shenzhen University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452772,https://github.com/yyssl88/SelNet-Estimation
2021,"大数据系统,机器学习系统","数据分析,DNN",Top-K Deep Video Analytics: A Probabilistic Approach,"Ziliang Lai, The Chinese University of Hong Kong; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452786,https://github.com/everest-project/everest
2021,大数据系统,"数据管理,多核","Fast Density-Peaks Clustering: Multicore-based Parallelization
Approach","Daichi Amagata, Osaka University & PRESTO; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452781,https://github.com/amgt-d1/DPC
2021,大数据系统,数据管理,"Public Transport Planning: When Transit Network Connectivity
Meets Commuting Demand","Sheng Wang, New York University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457247,https://github.com/tgbnhy/ct-bus
2021,大数据系统,"图计算,数据挖掘","Fast and Exact Outlier Detection in Metric Spaces: A Proximity
Graph-based Approach","Daichi Amagata, Osaka University & PRESTO; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452782,https://github.com/amgt-d1/DOD
2021,大数据系统,图计算,Point-to-Hyperplane Nearest Neighbor Search Beyond the Unit Hypersphere,"Qiang Huang, National University of Singapore; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457240,https://github.com/HuangQiang/P2HNNS
2021,大数据系统,图计算,A Generalized Approach for Reducing Expensive Distance Calls for A Broad Class of Proximity Problems,"Jees Augustine, The University of Texas at Arlington; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457303,https://github.com/jeesaugustine/metric-space-proximity-algo/
2021,大数据系统,"流处理,并行",Parallelizing Intra-Window Join on Multicores: An Experimental Study,"Shuhao Zhang, Singapore University of Technology and Design; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452793,https://github.com/intellistream/AllianceDB
2021,大数据系统,"流处理,数据挖掘",Out of Many We are One: Measuring Item Batch with Clock-Sketch,"Peiqing Chen, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452784,https://github.com/Clock-sketch/clock-sketch2020
2021,大数据系统,"流处理,数据挖掘",BurstSketch: Finding Bursts in Data Streams,"Zheng Zhong, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452775,https://github.com/BurstSketch/BurstSketch
2021,大数据系统,"流处理,数据分析,图计算",Sliding Window-based Approximate Triangle Counting over Streaming Graphs with Duplicate Edges,"Xiangyang Gou, Peking University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452800,https://github.com/StreamingTriangleCounting/TriangleCounting
2021,数据库系统,"流处理,索引结构",Index-Accelerated Pattern Matching in Event Stores,"Michael Körber, University of Marburg; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457245,https://github.com/sigmod2021-index-pattern/index-pattern
2021,大数据系统,"流处理,数据管理,数据预取","EIRES: Efficient Integration of Remote Data
in Event Stream Processing","Bo Zhao, Humboldt-Universität zu Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457304,https://github.com/zbjob/EIRES
2021,大数据系统,流处理,"To Share, or not to Share Online Event Trend Aggregation Over
Bursty Event Streams","Olga Poppe, Microsoft Gray Systems Lab; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452785,https://github.com/LeiMa0324/Hamlet
2021,大数据系统,流处理,"MuSE Graphs for Flexible Distribution of
Event Stream Processing in Networks","Samira Akili, Humboldt-Universität zu Berlin; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457318,https://github.com/samieze/aMuSE
2021,"大数据系统,机器学习系统","数据挖掘,神经网络,物联网",Pool of Experts: Realtime Querying Specialized Knowledge in Massive Neural Networks,"Hakbin Kim,Inha University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457326,https://github.com/bigdata-inha/Pool-of-Experts-code
2021,"机器学习系统,数据库系统",排序算法,"Efficient String Sort with Multi-Character Encoding and
Adaptive Sampling","Wen Jin, Independent Researcher; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457319,https://github.com/amce2021/AMCE2021
2021,数据库系统,数据库事务,Rethink the Scan in MVCC Databases,"Jongbin Kim, Hanyang University; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3452783,https://github.com/hyu-scslab/vWeaver
2021,数据库系统,"数据库事务,并发控制",Releasing Locks As Early As You Can: Reducing Contention of Hotspots by Violating Two-Phase Locking,"Zhihan Guo, University of Wisconsin-Madison; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457294,https://github.com/ScarletGuo/Bamboo-Public
2021,数据库系统,"数据库事务,流处理,崩溃一致性",Clonos: Consistent Causal Recovery for Highly-Available Streaming Dataflows,"Pedro F. Silvestre, Delft University of Technology; et al.",https://dl.acm.org/doi/abs/10.1145/3448016.3457320,https://github.com/delftdata/Clonos